2026-03-28 22:14:52,583 | INFO | __main__ | Loading dataset 'SivaMallikarjun/Home-Loan-Approval-Dataset' from Hugging Face
2026-03-28 22:19:32,713 | INFO | skills.data_collection.scripts.download_hf | Loading dataset '13nishit/LoanApprovalPrediction' from Hugging Face
2026-03-28 22:19:34,925 | INFO | skills.data_collection.scripts.download_hf | Saved 614 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/hf_13nishit_LoanApprovalPrediction_train.csv
2026-03-28 22:19:34,940 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/hf_13nishit_LoanApprovalPrediction_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/unified_1.csv (rows=614)
2026-03-28 22:19:34,940 | INFO | skills.data_collection.scripts.download_hf | Loading dataset 'shubhamdatavtar/loan-approval' from Hugging Face
2026-03-28 22:19:36,561 | INFO | skills.data_collection.scripts.download_hf | Saved 3422 rows -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/hf_shubhamdatavtar_loan-approval_train.csv
2026-03-28 22:19:36,577 | INFO | skills.data_collection.scripts.unify_and_process | Unified /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/hf_shubhamdatavtar_loan-approval_train.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/unified_2.csv (rows=3342)
2026-03-28 22:19:36,605 | INFO | skills.data_collection.scripts.merge_datasets | Merged 2 files -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/merged_dataset.csv (rows=3956)
2026-03-28 22:19:37,062 | INFO | skills.data_collection.scripts.generate_eda_report | EDA report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/reports/eda_report.html
2026-03-28 22:28:45,210 | INFO | skills.data_quality.scripts.detect_issues | Quality reports saved to /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/reports
2026-03-28 22:28:45,256 | INFO | skills.data_quality.scripts.fix_data | Cleaned data with 'smart' strategy: /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/merged_dataset.csv -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/cleaned_dataset.csv (rows=3611)
2026-03-28 22:28:45,344 | INFO | skills.data_quality.scripts.compare_datasets | Comparison report saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/reports/quality_comparison.md
2026-03-28 23:31:18,940 | INFO | skills.annotation.scripts.auto_label | Auto-labeled dataset saved -> /Users/tix/itmo-mag/data pipeline/Codex-Data-for-ML-HW/data/raw/mortgage-risk-prediction_2026-03-28_22-03/data/auto_labeled_dataset.csv (rows=3611)
