submitted,stats.views,stats.version_views,stats.version_unique_views,stats.version_unique_downloads,stats.version_downloads,stats.unique_views,stats.unique_downloads,stats.downloads,revision,recid,id,conceptrecid,updated,state,owners,modified,metadata.title,metadata.resource_type.type,metadata.resource_type.title,metadata.relations.version,metadata.license.id,metadata.doi,metadata.creators,metadata.access_right,links.versions,links.self_iiif_sequence,source,collected_at,CoapplicantIncome,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_ID,Education,Married,Gender,Dependents,Self_Employed
True,26.0,26.0,20.0,2.0,2.0,20.0,2.0,2.0,4.0,17825172.0,17825172.0,17825171.0,2025-12-05T05:04:22.274888+00:00,done,[{'id': '1482742'}],2025-12-05T05:04:22.274888+00:00,IsmailElSayad/Mortgage-Risk-Assessment: Mortgage-Risk-Assessment,software,Software,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '17825171'}}]",cc-by-4.0,10.5281/zenodo.17825172,"[{'name': 'bgosal', 'affiliation': None}]",open,https://zenodo.org/api/records/17825172/versions,https://zenodo.org/api/iiif/record:17825172/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,65.0,65.0,65.0,65.0,68.0,65.0,65.0,68.0,4.0,17181602.0,17181602.0,17181601.0,2025-09-23T06:03:59.970667+00:00,done,[{'id': '282476'}],2025-09-23T06:03:59.970667+00:00,Identifying Optimal Innovative Machine Learning Models for Predicting U.S. Mortgage Loan Defaults: A Comparative Analysis,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '17181601'}}]",cc-by-4.0,10.35940/ijitee.I1127.14100925,"[{'name': 'Chi Ton Cong Nguyen', 'affiliation': 'James Madison High School, Vienna, VA, USA.', 'orcid': '0009-0002-8065-7215'}]",open,https://zenodo.org/api/records/17181602/versions,https://zenodo.org/api/iiif/record:17181602/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,198.0,198.0,177.0,195.0,225.0,177.0,200.0,230.0,5.0,6547376.0,6547376.0,6547375.0,2024-07-16T18:41:17.729031+00:00,done,[{'id': '110967'}],2024-07-16T18:41:17.729031+00:00,Mortgage Commitment Model,presentation,Presentation,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '6547375'}}]",cc-by-4.0,10.5281/zenodo.6547376,"[{'name': 'David Lee', 'affiliation': None}]",open,https://zenodo.org/api/records/6547376/versions,https://zenodo.org/api/iiif/record:6547376/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,179.0,179.0,175.0,217.0,226.0,175.0,218.0,227.0,5.0,6548953.0,6548953.0,6548952.0,2024-07-16T18:37:26.448178+00:00,done,[{'id': '110967'}],2024-07-16T18:37:26.448178+00:00,Mortgage Model,presentation,Presentation,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '6548952'}}]",cc-by-4.0,10.5281/zenodo.6548953,"[{'name': 'David Lee', 'affiliation': None}]",open,https://zenodo.org/api/records/6548953/versions,https://zenodo.org/api/iiif/record:6548953/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,33.0,33.0,31.0,30.0,30.0,31.0,30.0,30.0,4.0,17052263.0,17052263.0,17052262.0,2025-09-04T08:02:50.042790+00:00,done,[{'id': '1401543'}],2025-09-04T08:02:50.042790+00:00,Modeling Dynamic Flood Population Exposure in Coupled Human-Water Systems: The Role of Reservoir Regulation and Population Movement,dataset,Dataset,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '17052262'}}]",cc-by-4.0,10.5281/zenodo.17052263,"[{'name': 'Xiao, Yuanyuan', 'affiliation': 'State Key Laboratory of Climate System Prediction and Risk Management, Nanjing Normal University'}, {'name': 'Dai, Qiang', 'affiliation': 'State Key Laboratory of Climate System Prediction and Risk Management, Nanjing Normal University'}, {'name': 'Liu, Rui', 'affiliation': 'State Key Laboratory of Climate System Prediction and Risk Management, Nanjing Normal University'}, {'name': 'Ji, Duanyang', 'affiliation': 'State Key Laboratory of Climate System Prediction and Risk Management, Nanjing Normal University'}, {'name': 'Lai, Xiaoying', 'affiliation': None}, {'name': 'Zhang, Jun', 'affiliation': 'State Key Laboratory of Climate System Prediction and Risk Management, Nanjing Normal University'}]",open,https://zenodo.org/api/records/17052263/versions,https://zenodo.org/api/iiif/record:17052263/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,97.0,84.0,82.0,82.0,82.0,94.0,85.0,85.0,5.0,7331916.0,7331916.0,7331915.0,2024-07-15T17:47:56.285744+00:00,done,[{'id': '38589'}],2024-07-15T17:47:56.285744+00:00,Development of efficient mortgage landing in macroeconomic stability and economic equilibrium provision,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '7331915'}}]",cc-by-4.0,10.5281/zenodo.7331916,"[{'name': 'Оlena Zharikova', 'affiliation': None, 'orcid': '0000-0002-1259-1712'}, {'name': 'Oksana Pashchenko', 'affiliation': None, 'orcid': '0000-0002-0603-8072'}, {'name': 'Tetiana Grebeniuk', 'affiliation': None, 'orcid': '0000-0002-9529-6742'}]",open,https://zenodo.org/api/records/7331916/versions,https://zenodo.org/api/iiif/record:7331916/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,167.0,156.0,149.0,118.0,130.0,160.0,121.0,133.0,5.0,7230142.0,7230142.0,7230141.0,2024-07-15T21:28:57.438908+00:00,done,[{'id': '38589'}],2024-07-15T21:28:57.438908+00:00,Mortgage lending market: problems and development prospects,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '7230141'}}]",cc-by-4.0,10.5281/zenodo.7230142,"[{'name': 'Yuliia Nehoda', 'affiliation': None}, {'name': 'Оlena Zharikova', 'affiliation': None}, {'name': 'Tetyana Grebenyuk', 'affiliation': None}]",open,https://zenodo.org/api/records/7230142/versions,https://zenodo.org/api/iiif/record:7230142/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,116.0,116.0,115.0,35.0,35.0,115.0,35.0,35.0,5.0,5035156.0,5035156.0,5035155.0,2024-07-18T23:32:26.873103+00:00,done,[{'id': '131097'}],2024-07-18T23:32:26.873103+00:00,Real Estate Futures and Derivative Markets in India: Scope and Challenges,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '5035155'}}]",cc-by-4.0,10.5281/zenodo.5035156,"[{'name': 'Atul Gupta', 'affiliation': 'Hindu College, University of Delhi, Delhi'}, {'name': 'Ranvir Singh Sirohi', 'affiliation': 'Hindu College, University of Delhi, Delhi'}, {'name': 'Dhananjai Negi', 'affiliation': 'Hindu College, University of Delhi, Delhi'}, {'name': 'Sabhya Verma', 'affiliation': 'Hindu College, University of Delhi, Delhi'}]",open,https://zenodo.org/api/records/5035156/versions,https://zenodo.org/api/iiif/record:5035156/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,103.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
True,13.0,13.0,12.0,13.0,13.0,12.0,13.0,13.0,4.0,15782755.0,15782755.0,15782754.0,2025-07-01T11:49:15.997128+00:00,done,[{'id': '1170234'}],2025-07-01T11:49:15.997128+00:00,Impact of Monetary Policy on Mortgage Rates in Russia's Regions,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '15782754'}}]",cc-by-4.0,10.18288/1994-5124-2024-6-26-53,"[{'name': 'Demidova, Olga', 'affiliation': 'National Research University Higher School of Economics'}, {'name': 'Myasnikov, Alexander', 'affiliation': 'National Research University Higher School of Economics'}, {'name': 'Seregina, Svetlana', 'affiliation': 'National Research University Higher School of Economics'}, {'name': 'Shchankina, Anna', 'affiliation': 'National Research University Higher School of Economics'}]",open,https://zenodo.org/api/records/15782755/versions,https://zenodo.org/api/iiif/record:15782755/sequence/default,api:zenodo,2026-03-29_00-43,,,,,,,,,,,
