CoapplicantIncome,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_ID,Education,Married,Gender,Dependents,Self_Employed,source,collected_at
0.0,5849,,1.0,Urban,LP001002,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1508.0,4583,128.0,1.0,Rural,LP001003,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3000,66.0,1.0,Urban,LP001005,Graduate,Yes,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
2358.0,2583,120.0,1.0,Urban,LP001006,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,6000,141.0,1.0,Urban,LP001008,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
4196.0,5417,267.0,1.0,Urban,LP001011,Graduate,Yes,Male,2,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
1516.0,2333,95.0,1.0,Urban,LP001013,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2504.0,3036,158.0,0.0,Semiurban,LP001014,Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1526.0,4006,168.0,1.0,Urban,LP001018,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
10968.0,12841,349.0,1.0,Semiurban,LP001020,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
700.0,3200,70.0,1.0,Urban,LP001024,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1840.0,2500,109.0,1.0,Urban,LP001027,Graduate,Yes,Male,2,,hf:LoanApprovalPrediction,2026-03-29_00-43
8106.0,3073,200.0,1.0,Urban,LP001028,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2840.0,1853,114.0,1.0,Rural,LP001029,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1086.0,1299,17.0,1.0,Urban,LP001030,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4950,125.0,1.0,Urban,LP001032,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3596,100.0,,Urban,LP001034,Not Graduate,No,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3510,76.0,0.0,Urban,LP001036,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4887,133.0,1.0,Rural,LP001038,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3500.0,2600,115.0,1.0,Urban,LP001041,Graduate,Yes,Male,0,,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,7660,104.0,0.0,Urban,LP001043,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
5625.0,5955,315.0,1.0,Urban,LP001046,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1911.0,2600,116.0,0.0,Semiurban,LP001047,Not Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1917.0,3365,112.0,0.0,Rural,LP001050,Not Graduate,Yes,,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2925.0,3717,151.0,,Semiurban,LP001052,Graduate,Yes,Male,1,,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,9560,191.0,1.0,Semiurban,LP001066,Graduate,Yes,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
2253.0,2799,122.0,1.0,Semiurban,LP001068,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1040.0,4226,110.0,1.0,Urban,LP001073,Not Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,1442,35.0,1.0,Urban,LP001086,Not Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2083.0,3750,120.0,1.0,Semiurban,LP001087,Graduate,No,Female,2,,hf:LoanApprovalPrediction,2026-03-29_00-43
3369.0,4166,201.0,,Urban,LP001091,Graduate,Yes,Male,1,,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3167,74.0,1.0,Urban,LP001095,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4692,106.0,1.0,Rural,LP001097,Graduate,No,Male,1,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
1667.0,3500,114.0,1.0,Semiurban,LP001098,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3000.0,12500,320.0,1.0,Rural,LP001100,Graduate,No,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2067.0,2275,,1.0,Urban,LP001106,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1330.0,1828,100.0,0.0,Urban,LP001109,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1459.0,3667,144.0,1.0,Semiurban,LP001112,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
7210.0,4166,184.0,1.0,Urban,LP001114,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1668.0,3748,110.0,1.0,Semiurban,LP001116,Not Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3600,80.0,1.0,Urban,LP001119,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1213.0,1800,47.0,1.0,Urban,LP001120,Graduate,No,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,2400,75.0,,Urban,LP001123,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2336.0,3941,134.0,1.0,Semiurban,LP001131,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4695,96.0,1.0,Urban,LP001136,Not Graduate,Yes,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3410,88.0,1.0,Urban,LP001137,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,5649,44.0,1.0,Urban,LP001138,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,5821,144.0,1.0,Urban,LP001144,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3440.0,2645,120.0,0.0,Urban,LP001146,Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2275.0,4000,144.0,1.0,Semiurban,LP001151,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1644.0,1928,100.0,1.0,Semiurban,LP001155,Not Graduate,Yes,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3086,120.0,1.0,Semiurban,LP001157,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4230,112.0,1.0,Semiurban,LP001164,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4616,134.0,1.0,Urban,LP001179,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,11500,286.0,0.0,Urban,LP001186,Graduate,Yes,Female,1,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
1167.0,2708,97.0,1.0,Semiurban,LP001194,Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
1591.0,2132,96.0,1.0,Semiurban,LP001195,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2200.0,3366,135.0,1.0,Rural,LP001197,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2250.0,8080,180.0,1.0,Urban,LP001198,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
2859.0,3357,144.0,1.0,Urban,LP001199,Not Graduate,Yes,Male,2,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3796.0,2500,120.0,1.0,Urban,LP001205,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,3029,99.0,1.0,Urban,LP001206,Graduate,Yes,Male,3+,No,hf:LoanApprovalPrediction,2026-03-29_00-43
3449.0,2609,165.0,0.0,Rural,LP001207,Not Graduate,Yes,Male,0,Yes,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4945,,0.0,Rural,LP001213,Graduate,Yes,Male,1,No,hf:LoanApprovalPrediction,2026-03-29_00-43
0.0,4166,116.0,0.0,Semiurban,LP001222,Graduate,No,Female,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
4595.0,5726,258.0,1.0,Semiurban,LP001225,Graduate,Yes,Male,0,No,hf:LoanApprovalPrediction,2026-03-29_00-43
