__row_id,submitted,stats.views,stats.version_views,stats.version_unique_views,stats.version_unique_downloads,stats.version_downloads,stats.unique_views,stats.unique_downloads,stats.downloads,revision,recid,id,conceptrecid,updated,state,owners,modified,metadata.title,metadata.resource_type.type,metadata.resource_type.title,metadata.relations.version,metadata.license.id,metadata.doi,metadata.creators,metadata.access_right,links.versions,links.self_iiif_sequence,source,collected_at,CoapplicantIncome,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_ID,Education,Married,Gender,Dependents,Self_Employed,auto_label,confidence,reason
587,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,4583.0,133.0,0.0,Semiurban,LP002990,Graduate,No,Female,0,Yes,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
569,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,3300.0,3859.0,142.0,1.0,Rural,LP002936,Graduate,Yes,Male,0,No,tier_4,0.65,rule_3:3300.0 >= 2250.0
89,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,4167.0,5695.0,175.0,1.0,Semiurban,LP001310,Graduate,Yes,Male,0,No,tier_4,0.65,rule_3:4167.0 >= 2250.0
459,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,1872.0,2873.0,132.0,0.0,Semiurban,LP002530,Graduate,Yes,Male,2,No,tier_3,0.75,rule_2:1211.5 <= 1872.0 < 2250.0
345,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,3167.0,8333.0,165.0,1.0,Rural,LP002149,Graduate,Yes,Male,2,No,tier_4,0.65,rule_3:3167.0 >= 2250.0
452,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,2079.0,3450.0,162.0,1.0,Semiurban,LP002515,Graduate,Yes,Male,1,Yes,tier_3,0.75,rule_2:1211.5 <= 2079.0 < 2250.0
111,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,2333.0,2929.0,139.0,1.0,Semiurban,LP001387,Graduate,Yes,Female,0,No,tier_4,0.65,rule_3:2333.0 >= 2250.0
363,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,4996.0,8750.0,130.0,1.0,Rural,LP002219,Graduate,Yes,Male,3+,No,tier_4,0.65,rule_3:4996.0 >= 2250.0
448,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,1664.0,2947.0,70.0,0.0,Urban,LP002500,Not Graduate,Yes,Male,3+,No,tier_3,0.75,rule_2:1211.5 <= 1664.0 < 2250.0
244,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,3427.0,138.0,1.0,Urban,LP001836,Graduate,No,Female,2,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
